Class,MTH,RFC,FLD,INT,BCM,NML,WRD,DCM,SZ,CPX,EX,RET,buggy
InstrumentFunctions,1,97,12,2,8,9.622377622377622,0,150.0,106,21,0,17,0
MakeDeclaredNamesUnique,7,142,19,6,23,9.92436974789916,0,9.377777777777778,173,35,0,68,1
ReplaceIdGenerators,6,130,15,4,3,8.673469387755102,0,11.1,158,35,0,41,0
CommandLineRunner,10,155,61,1,9,10.515432098765432,0,12.22222222222222,167,29,7,32,1
ExternExportsPass,6,160,13,1,27,9.432203389830509,0,20.535714285714285,150,34,0,41,0
SyntacticScopeCreator,6,89,7,2,9,9.496,0,9.363636363636363,89,19,0,18,1
ExploitAssigns,6,63,0,0,7,9.793478260869565,0,10.107142857142858,80,21,0,24,1
ClosureCodingConvention,24,115,4,0,12,11.071428571428571,0,9.555555555555555,145,40,0,69,1
DependencyOptions,9,3,5,1,7,12.764705882352942,0,0.0,14,0,0,18,0
TypeValidator,33,246,20,0,28,10.76123595505618,0,19.271186440677965,214,57,0,65,1
SimpleDefinitionFinder,13,135,5,2,11,9.225225225225223,0,7.111111111111111,171,50,0,50,0
JsAst,6,25,6,1,2,8.777777777777779,0,15.333333333333334,26,2,0,9,1
RenameProperties,5,148,20,2,21,8.234309623430962,0,26.36,193,52,0,20,0
Warning,4,0,2,0,2,8.0,0,0.0,4,0,0,6,0
AntErrorManager,2,11,2,0,2,8.944444444444445,0,0.0,12,2,0,2,0
CompileTask,35,120,20,0,30,10.008733624454148,0,155.66666666666666,196,39,0,47,0
SecureCompiler,7,22,10,0,7,9.4468085106383,0,250.0,47,4,0,19,0
Writer,40,318,0,0,5,10.454945054945057,0,3.2452830188679247,412,38,0,43,0
Validator,50,153,7,0,4,13.723140495867767,0,18.3,229,28,0,56,0
JsonMLAst,9,18,8,1,7,9.0,0,31.666666666666668,46,7,0,19,0
Reader,77,421,12,0,39,11.893249607535322,0,13.055555555555555,563,49,75,114,0
JsonMLUtil,5,51,5,0,9,7.931372549019608,0,20.4,100,27,2,36,0
JsonML,22,60,3,0,23,7.601851851851852,0,105.75,81,11,1,32,0
JsonMLException,0,0,1,0,2,9.5,0,0.0,1,0,0,0,0
NodeUtil,4,13,0,0,6,10.35,0,56.66666666666666,7,1,0,9,1
JsonMLError,2,4,5,0,7,9.181818181818182,0,58.5,12,0,0,4,0
LinkedDirectedGraph,35,115,13,6,10,11.453333333333331,0,68.0,134,20,0,123,0
DiGraph,15,4,0,0,10,17.12,0,0.0,2,0,0,23,0
GraphReachability,3,17,6,1,4,10.4,0,79.0,19,2,0,5,0
FixedPointGraphTraversal,4,27,2,0,8,9.4,0,31.444444444444443,20,5,0,6,0
Graph,24,34,7,2,30,11.161290322580646,0,0.0,46,10,0,34,0
GraphPruner,2,37,1,0,2,8.615384615384615,0,56.66666666666666,32,11,0,4,0
LinkedUndirectedGraph,27,88,11,6,6,11.03125,0,0.0,126,23,0,104,0
UndiGraph,4,0,0,0,5,22.166666666666668,0,0.0,0,0,0,6,0
StandardUnionFind,9,44,7,2,13,6.957746478873239,0,0.0,58,11,0,30,0
